"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Герои Меча и Магии 3";"Heroes of Might and Magic III";"1999";"8";"2015-04-27 12:09:26"
"Dungeon Siege";"";"2002";"8";"2015-04-27 10:10:01"
"Троецарствие";"";"2007";"7";"2015-04-27 10:09:51"
"FTL: Faster Than Light";"";"2012";"7";"2015-04-27 09:43:35"
"Анахронокс";"Anachronox";"2001";"7";"2015-04-27 09:43:32"
"RF Online";"Rising Force Online";"2007";"6";"2015-04-27 09:43:28"
"Metalheart: Восстание репликантов";"MetalHeart: Replicants Rampage";"2005";"6";"2015-04-27 09:43:24"
"Neverwinter Nights 2";"";"2006";"10";"2015-04-27 09:29:46"
"Diablo 2";"";"2000";"8";"2015-04-27 09:06:47"
"Бэтмен: Летопись Аркхема";"Batman: Arkham Origins";"2013";"8";"2015-04-27 08:28:01"
"Берсерк: Возрождение";"";"2012";"6";"2015-04-12 04:59:56"
"DC Universe Online: War of the Light Part I";"";"2014";"6";"2015-03-30 09:11:34"
"F.E.A.R.";"First Encounter Assault Recon";"2005";"9";"2015-03-27 13:30:14"
"Америкэн Макги: Алиса";"American McGee’s Alice";"2000";"8";"2015-03-25 14:59:44"
"Plague Inc.";"";"2012";"9";"2015-03-10 23:06:33"
"Parasite Eve";"";"1998";"8";"2015-03-02 17:59:03"
"Supaplex";"Супаплекс";"1991";"7";"2015-03-02 17:45:57"
"Hay Day";"";"2014";"7";"2015-02-24 14:24:47"
"Angry Birds Epic";"";"2014";"8";"2015-02-23 00:32:17"
"Hack 'n' Slash";"";"2014";"9";"2015-02-23 00:27:01"
"Александр";"";"2004";"4";"2015-02-15 13:55:16"
"Хроники Риддика: Побег из «Бухты мясника»";"The Chronicles of Riddick: Escape from Butcher Bay; Хроники Риддика: Побег из Бутчер-Бей";"2004";"8";"2015-02-09 15:19:44"
"Batman: Arkham Origins (mobile)";"";"2013";"8";"2015-02-06 19:55:03"
"Soulblade";"Soul Edge";"1996";"8";"2015-01-16 14:36:20"
"Spawn: The Eternal";"";"1998";"6";"2015-01-16 14:33:31"
"The Unholy War";"";"1998";"7";"2015-01-16 14:31:37"
"Cardinal SYN";"";"1998";"6";"2015-01-16 14:25:55"
"Overgrowth";"";"2008";"7";"2015-01-16 14:24:01"
"Dragon Seeds";"";"1998";"8";"2015-01-16 14:17:34"
"Bound by Flame";"";"2014";"10";"2015-01-16 01:39:38"
"XCOM: Enemy Within";"";"2013";"10";"2015-01-16 01:39:23"
"The Wolf Among Us";"";"2013";"10";"2015-01-16 01:39:10"
"The Dark Eye: Demonicon";"";"2013";"6";"2015-01-16 01:38:39"
"Blackguards";"";"2013";"8";"2015-01-16 01:38:23"
"Shadowrun Returns";"";"2013";"9";"2015-01-16 01:37:42"
"Mortal Kombat 9";"Mortal Kombat Komplete Edition; MK9";"2011";"7";"2015-01-16 01:37:35"
"Saints Row IV";"";"2013";"9";"2015-01-16 01:37:17"
"The Bureau: XCOM Declassified";"";"2013";"10";"2015-01-16 01:36:57"
"Deadpool";"";"2013";"6";"2015-01-16 01:36:44"
"Incredipede";"";"2013";"7";"2015-01-16 01:36:33"
"Game Dev Tycoon";"";"2013";"10";"2015-01-16 01:36:22"
"The Incredible Adventures of Van Helsing";"";"2013";"5";"2015-01-16 01:36:10"
"Mars War Logs";"";"2013";"7";"2015-01-16 01:35:55"
"Far Cry 3: Blood Dragon";"";"2013";"6";"2015-01-16 01:35:42"
"Kenshi";"";"2011";"3";"2015-01-16 01:35:30"
"Don’t Starve";"";"2013";"10";"2015-01-16 01:35:11"
"Divinity: Dragon Commander";"";"2013";"9";"2015-01-16 01:34:39"
"Blood Knights";"";"2013";"6";"2015-01-16 01:34:27"
"XCOM: Enemy Unknown";"";"2012";"10";"2015-01-16 01:34:02"
"Ninja: Shadow of Darkness";"";"1998";"6";"2015-01-16 01:33:49"
"Sleeping Dogs";"";"2012";"1";"2015-01-16 01:33:38"
"Binary Domain";"";"0";"5";"2015-01-16 01:33:25"
"Fez";"";"2012";"9";"2015-01-16 01:33:10"
"Darksiders 2";"";"0";"8";"2015-01-16 01:32:59"
"Крестоносцы 2";"Crusader Kings 2";"2012";"8";"2015-01-16 01:32:24"
"The Darkness II";"";"2012";"8";"2015-01-16 01:32:02"
"Battletoads";"";"1991";"8";"2015-01-16 01:31:51"
"Dishonored: The Brigmore Witches";"";"2013";"10";"2015-01-16 01:31:31"
"Dishonored: The Knife of Dunwall";"";"2013";"9";"2015-01-16 01:31:29"
"Dishonored";"";"2012";"10";"2015-01-16 01:31:25"
"L.A. Noire Расширенное Издание";"";"2011";"5";"2015-01-16 01:31:10"
"Saints Row: The Third";"";"2011";"10";"2015-01-16 01:30:51"
"Borderlands 2";"";"2014";"6";"2015-01-16 01:30:39"
"Dark Souls";"";"2011";"4";"2015-01-16 01:30:06"
"Far Cry 3";"";"2012";"8";"2015-01-16 01:29:29"
"Bad Piggies";"";"2012";"9";"2015-01-16 01:29:16"
"Tekken 3";"";"1998";"10";"2015-01-16 01:29:03"
"Terraria";"";"2011";"6";"2015-01-16 01:28:51"
"Faery: Legends of Avalon";"";"2011";"4";"2015-01-16 01:28:35"
"Тотальная Война: Сёгун 2";"Total War: Shogun 2";"2011";"7";"2015-01-16 01:28:18"
"Divinity II: Кровь драконов";"Divinity II: Ego Draconis; Divinity II: Flames of Vengeance; Divinity II: The Dragon Knight Saga";"2009";"9";"2015-01-16 01:27:30"
"Assassin’s Creed 3";"";"2012";"7";"2015-01-16 01:27:11"
"Call of Duty: Black Ops 2";"";"2012";"5";"2015-01-16 01:26:53"
"Angry Birds";"";"2011";"9";"2015-01-16 01:26:29"
"The Sims Medieval";"";"2011";"9";"2015-01-16 01:26:16"
"The Elder Scrolls V: Skyrim";"";"2011";"8";"2015-01-16 01:26:01"
"Bulletstorm";"";"2011";"6";"2015-01-16 01:25:50"
"Prototype 2: Murder Your Maker";"";"2012";"8";"2015-01-16 01:25:38"
"Syndicate";"";"2012";"6";"2015-01-16 01:25:08"
"Mark of the Ninja";"";"2012";"7";"2015-01-16 01:24:19"
"Chivalry: Medieval Warfare";"";"2012";"5";"2015-01-16 01:24:06"
"Europa Universalis IV";"";"2013";"7";"2015-01-16 01:23:54"
"DmC: Devil May Cry";"";"2013";"5";"2015-01-16 01:23:33"
"Dead Space 3";"";"2013";"8";"2015-01-16 01:23:20"
"Ведьмак 2: Убийцы королей";"The Witcher II: Assassins of Kings";"2011";"10";"2015-01-16 01:22:19"
"BioShock: Infinite";"";"2013";"9";"2015-01-16 01:22:07"
"Sid Meier’s Civilization 5";"";"2010";"9";"2015-01-16 01:21:54"
"Бэтмен: Аркхем-сити";"Batman: Arkham City";"2011";"9";"2015-01-16 01:21:42"
"The Binding of Isaac";"";"2011";"7";"2015-01-16 01:21:29"
"Игра Престолов";"Game of Thrones";"2012";"9";"2015-01-16 01:19:22"
"Fable 3";"";"2010";"7";"2015-01-16 01:19:06"
"Dragon Age 2";"";"2011";"10";"2015-01-16 01:18:51"
"Expeditions: Conquistador";"";"2013";"7";"2015-01-16 01:18:38"
"BioShock 2";"";"2010";"6";"2015-01-16 01:18:11"
"Fallout: New Vegas";"";"2010";"10";"2015-01-16 01:17:22"
"Hunted: The Demon’s Forge";"";"2011";"5";"2015-01-16 01:17:08"
"Warhammer 40.000: Space Marine";"";"2010";"6";"2015-01-16 01:15:52"
"Dead Space 2";"";"2010";"7";"2015-01-16 01:15:38"
"Battlefield: Bad Company 2";"";"2010";"4";"2015-01-16 01:15:25"
"Lineage II";"";"2009";"6";"2015-01-16 01:15:03"
"Mass Effect 3";"";"2012";"10";"2015-01-16 01:14:49"
"Grim Dawn";"";"2013";"6";"2015-01-16 01:14:33"
"Mass Effect 2";"";"2010";"10";"2015-01-16 01:14:16"
"Torchlight";"";"2009";"7";"2015-01-16 01:14:03"
"Brutal Legend";"";"2009";"9";"2015-01-16 01:13:49"
"Kingdoms of Amalur: Reckoning";"";"2011";"6";"2015-01-16 01:13:36"
"Trine 2: Триединство";"";"2011";"10";"2015-01-16 01:13:24"
"Макс Пэйн 3";"Max Payne 3";"2012";"10";"2015-01-16 01:13:12"
"Singularity";"";"2010";"5";"2015-01-16 01:12:31"
"Aion: The Tower of Eternity";"";"2008";"7";"2015-01-16 01:12:19"
"День Победы III";"Hearts of Iron III";"2009";"7";"2015-01-16 01:11:30"
"Аллоды Онлайн";"";"2009";"6";"2015-01-16 01:11:16"
"Spore";"";"2008";"10";"2015-01-16 01:11:03"
"Ведьмак";"The Witcher";"2007";"10";"2015-01-16 01:10:47"
"Perfect World";"";"2005";"5";"2015-01-16 01:09:58"
"Arcanum: Of Steamworks and Magick Obscura";"";"2001";"10";"2015-01-16 01:09:43"
"Homefront";"";"2010";"6";"2015-01-16 01:09:31"
"Darksiders";"";"2010";"7";"2015-01-16 01:09:13"
"Наследие Каина: Вызов";"Legacy of Kain: Defiance";"2007";"9";"2015-01-16 01:08:45"
"Mass Effect";"";"2008";"9";"2015-01-16 01:04:19"
"Assassin’s Creed 2";"";"2009";"8";"2015-01-16 01:03:53"
"Люди Икс. Начало: Росомаха";"X-Men Origins: Wolverine";"2009";"8";"2015-01-16 01:03:19"
"Nexuiz";"";"2012";"5";"2015-01-16 01:03:00"
"Manhunt";"";"2004";"7";"2015-01-16 01:02:32"
"Тамплиеры 2. Портал тьмы";"Knights of the Temple 2";"2005";"6";"2015-01-16 01:01:38"
"Предвестник";"Harbinger";"2003";"6";"2015-01-16 01:00:39"
"Devil May Cry 3: Dante`s Awakening";"";"2007";"8";"2015-01-16 01:00:20"
"Архангел";"Archangel";"2003";"5";"2015-01-16 00:58:15"
"Enclave";"";"2003";"8";"2015-01-16 00:57:57"
"Космические рейнджеры";"";"2004";"10";"2015-01-16 00:57:44"
"Тёмный Мессия Меча и Магии";"Dark Messiah of Might and Magic; Dark Messiah: Might and Magic";"2006";"8";"2015-01-16 00:57:27"
"Демиурги II";"";"2003";"8";"2015-01-16 00:57:14"
"Власть закона";"";"2004";"6";"2015-01-16 00:57:02"
"Neverwinter Nights";"";"2002";"10";"2015-01-16 00:56:51"
"Не время для драконов";"";"2007";"6";"2015-01-16 00:56:29"
"Князь тьмы";"Sacred";"2004";"9";"2015-01-16 00:56:10"
"Hellgate London";"";"2007";"9";"2015-01-16 00:54:45"
"BioShock";"";"2007";"10";"2015-01-16 00:54:26"
"Принц Персии: Пески Времени";"Prince of Persia: The Sands of Time";"2003";"7";"2015-01-16 00:53:51"
"Наследие Каина: Похититель душ";"Legacy of Kain: Soul Reaver";"1999";"10";"2015-01-16 00:52:28"
"Deus Ex";"";"2000";"9";"2015-01-16 00:52:11"
"Санитары подземелий";"Planet Alcatraz";"2006";"8";"2015-01-16 00:51:55"
"Космические рейнджеры 2: Доминаторы";"";"2004";"10";"2015-01-16 00:47:30"
"Древние Свитки IV: Забвение";"The Elder Scrolls IV: Oblivion";"2006";"8";"2015-01-16 00:47:17"
"The Elder Scrolls III: Morrowind";"";"2002";"8";"2015-01-16 00:44:55"
"Planescape: Torment";"";"1999";"10";"2015-01-16 00:44:38"
"Jade Empire";"";"2007";"8";"2015-01-16 00:44:25"
"Icewind Dale 2";"";"2003";"10";"2015-01-16 00:44:11"
"Fallout 2";"";"1998";"5";"2015-01-16 00:44:01"
"Fable: the Lost Chapters";"";"2006";"9";"2015-01-16 00:43:46"
"Half-Life 2";"";"2004";"8";"2015-01-16 00:40:59"
"SpellForce: The Order of Dawn";"";"2009";"6";"2015-01-15 17:59:28"
"Алмазный меч, деревянный меч";"";"0";"5";"2015-01-15 17:58:55"
"Afterfall: Insanity";"";"2011";"6";"2015-01-15 17:58:36"
"Космические рейнджеры 2: Доминаторы. Перезагрузка";"";"2009";"9";"2015-01-15 17:58:09"
"Сталкер: Тень Чернобыля";"S.T.A.L.K.E.R.: Тень Чернобыля; S.T.A.L.K.E.R.: Oblivion Lost";"2008";"9";"2015-01-15 17:55:14"
"Grand Theft Auto 4";"GTA IV";"2008";"5";"2015-01-15 17:54:41"
"Overlord";"";"2007";"10";"2015-01-15 17:54:25"
"Mount & Blade: Warband";"";"2010";"10";"2015-01-15 17:51:36"
"Space Siege";"";"2008";"8";"2015-01-15 17:49:47"
"R2: Reign of Revolution";"";"2009";"9";"2015-01-15 17:49:29"
"Battle City";"";"1985";"8";"2015-01-15 17:46:25"
"Тургор. Голос цвета";"";"2009";"6";"2015-01-15 17:45:44"
"Red Faction: Armageddon";"";"2011";"7";"2015-01-15 17:44:36"
"The Banner Saga";"";"2014";"10";"2015-01-15 17:44:12"
"The Sims 3";"";"2009";"10";"2015-01-15 17:43:52"
"Saboteur";"";"2007";"6";"2015-01-15 17:43:16"
"Risen";"";"2009";"5";"2015-01-15 17:42:32"
"Обитель зла 5";"Resident Evil 5; BioHazard 5";"2009";"5";"2015-01-15 17:41:41"
"Prototype";"";"2009";"9";"2015-01-15 17:41:25"
"Overlord 2";"";"2009";"8";"2015-01-15 17:40:56"
"Empire: Total War";"";"2009";"9";"2015-01-15 17:40:33"
"Duke Nukem Forever";"";"0";"7";"2015-01-15 17:40:09"
"Dragon Age: Origins";"";"2009";"10";"2015-01-15 17:39:41"
"Disciples 3: Ренессанс";"";"2009";"6";"2015-01-15 17:39:11"
"Deus Ex: Human Revolution";"";"2011";"8";"2015-01-15 17:38:46"
"Borderlands";"";"2009";"8";"2015-01-15 17:38:29"
