"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Дефицит белка";"";"2007";"10";"2015-01-08 16:29:23"
"Дай бог каждому";"";"2007";"10";"2015-01-08 16:29:10"
"Конклав Бессмертных: В краю далеком";"";"2008";"5";"2015-01-08 16:28:55"
"В традиции";"";"1994";"8";"2015-01-08 16:28:30"
"Семь Зверей Райлега: Книга 2 — Алиедора";"";"2009";"6";"2015-01-08 16:27:14"
"Я — сингуляр";"";"2007";"10";"2015-01-08 16:26:56"
"Тайны Смутного времени";"";"2007";"7";"2015-01-08 16:24:40"
"Пиранья: Война олигархов";"";"2007";"6";"2015-01-08 16:23:15"
"Владимир Путин: Полковник ставший капитаном";"";"2007";"7";"2015-01-08 16:21:17"
"Танцы с ворами";"";"2005";"5";"2015-01-08 16:19:46"
"Меч Предназначения: Предел возможного";"";"1991";"9";"2015-01-08 16:17:23"
"Меч Предназначения: Нечто большее";"";"1992";"9";"2015-01-08 16:17:12"
"Ричард Длинные Руки — маркиз";"";"2008";"8";"2015-01-08 16:16:59"
"Ричард Длинные Руки — коннетабль";"";"2007";"8";"2015-01-08 16:16:43"
"Черные сны";"";"2007";"7";"2015-01-08 16:16:32"
"Новый Завет";"";"60";"8";"2015-01-08 16:16:04"
"Планета призраков: Как создавалась фальшивая реальность";"";"2013";"6";"2015-01-08 16:15:42"
"Черная кровь Трансильвании";"";"2007";"9";"2015-01-08 16:13:19"
"Тропа волшебника";"";"2007";"8";"2015-01-08 16:11:59"
"Человек с мешком";"";"2007";"8";"2015-01-08 16:11:41"
"Мой кармический предок Рамирес Гальега";"";"2007";"9";"2015-01-08 16:09:02"
"Первый закон: Книга 1 — Кровь и железо";"";"2006";"9";"2015-01-08 16:06:47"
"Точка сборки (Р. Ароматов)";"";"2008";"5";"2015-01-08 16:06:16"
"Пророчество";"";"2008";"7";"2015-01-08 16:05:34"
"Цифровой или Brevis est";"";"2009";"8";"2015-01-08 16:03:10"
"Недотепа: Плутовской роман";"";"2009";"6";"2015-01-08 16:02:58"
"Начало всех начал (2008)";"";"2008";"8";"2015-01-08 16:02:22"
"Мертвый легион";"";"2008";"5";"2015-01-08 16:02:11"
"Последнее желание: Крупица истины";"";"1989";"9";"2015-01-08 16:00:22"
"Далекий светлый терем";"";"2000";"9";"2015-01-08 15:59:15"
"Преданья старины глубокой";"";"2006";"4";"2015-01-08 15:55:35"
"Пришествие Хиспа";"";"2007";"7";"2015-01-08 15:55:23"
"Чистовик";"";"2007";"7";"2015-01-08 15:55:11"
"Ричард Длинные Руки — оверлорд";"";"2007";"8";"2015-01-08 15:54:55"
"Имперские войны (С. Мусаниф)";"";"2007";"6";"2015-01-08 15:54:42"
"По ту сторону рассвета: Книга первая — Тени сумерек";"";"2003";"8";"2015-01-08 15:54:13"
"По ту сторону рассвета: Книга вторая — Воин надежды";"";"2001";"7";"2015-01-08 15:50:32"
"Кэр Кабалла";"";"1969";"5";"2015-01-08 15:48:02"
"Королева ведьм Лохленна";"";"1993";"7";"2015-01-08 15:46:17"
"Ааргх";"";"2007";"8";"2015-01-08 15:42:55"
"Клан быка";"";"2005";"10";"2015-01-08 15:42:30"
"Имперские танцы";"";"2007";"7";"2015-01-08 15:40:50"
"Заяц ПЦ";"";"2005";"7";"2015-01-08 15:40:05"
"Дорога в маги";"";"2007";"8";"2015-01-08 15:39:42"
"Добудь восход на закате";"";"2008";"8";"2015-01-08 15:39:26"
"Семь Зверей Райлега: Книга 1 — Терн";"";"2007";"7";"2015-01-08 15:33:38"
"Майкл Кейн 2: Повелитель пауков";"";"1993";"4";"2015-01-08 15:32:49"
"Зона поражения (2007)";"";"2007";"5";"2015-01-08 15:31:24"
"Рок-н-ролл под Кремлем";"";"2007";"6";"2015-01-08 15:31:04"
"Адмиральский кортик";"";"0";"4";"2015-01-08 15:30:51"
"Майкл Кейн 1: Город Зверя";"";"1993";"4";"2015-01-08 15:24:11"
"Оружие Возмездия (О. Дивов)";"";"2007";"8";"2015-01-08 15:21:19"
"Ричард Длинные Руки — Ландлорд";"";"2006";"8";"2015-01-08 15:20:56"
"Убить некроманта";"";"2007";"8";"2015-01-08 15:19:48"
"Чингисхан: Неизвестная Азия";"";"2011";"5";"2015-01-08 15:19:34"
"Мужик с топором";"";"2008";"8";"2015-01-08 15:17:21"
"Темная сторона медали";"";"2006";"7";"2015-01-08 15:03:12"
"Ухо";"";"2005";"9";"2015-01-08 15:02:54"
"Чернокнижник (2006)";"";"2006";"8";"2015-01-08 15:02:28"
