"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Лексс (1997-2002)";"Lexx";"1997";"10";"2015-02-19 17:15:00"
"Лангольеры";"The Langoliers";"1995";"7";"2015-02-19 17:14:11"
"Сегун";"Shogun";"1980";"5";"2015-02-19 17:13:54"
"Квантовый скачок (1989-1993)";"Quantum Leap";"1989";"8";"2015-02-19 17:13:08"
"Зена — королева воинов (1995-2001)";"Xena: Warrior Princess";"1995";"7";"2015-02-19 17:12:51"
"Секретные материалы (1993-2002)";"The X-Files";"1993";"8";"2015-02-19 17:12:37"
"Детективное Агентство «Лунный Свет»";"Moonlighting";"1985";"6";"2015-02-19 17:12:03"
"Мистер Бин";"Mr. Bean";"1989";"7";"2015-02-19 17:11:36"
"Ее звали Никита (1997-2001)";"La femme Nikita, Женщина по имени Никита";"1997";"7";"2015-02-19 17:11:09"
"Эй Арнольд (1996-2004)";"Hey Arnold!";"1996";"4";"2015-02-19 17:10:44"
"Смешарики";"";"2004";"6";"2015-02-19 17:10:23"
"Самурай Чамплу";"Samurai champloo";"2004";"10";"2015-02-19 17:10:09"
"Приключения Электроника";"";"1979";"5";"2015-02-19 17:09:57"
"Ох уж эти детки (1991-2004)";"Rugrats";"1991";"5";"2015-02-19 17:09:40"
"Не родись красивой (2005-2006)";"";"2005";"6";"2015-02-19 17:09:17"
"Лило и Стич (2002)";"Lilo And Stich";"2002";"5";"2015-02-19 17:09:00"
"Крутые бобры (1997-2001)";"The Angry Beavers";"1997";"5";"2015-02-19 17:08:35"
"Котопес (1998-2001)";"CatDog";"1998";"5";"2015-02-19 17:08:19"
"Коломбо (1968-2003)";"Columbo";"1968";"6";"2015-02-19 17:08:07"
"Как говорит Джинджер (2000-2008)";"As Told By Ginger";"2000";"5";"2015-02-19 17:07:53"
"Дикая семейка Торнберри (1998-2001)";"The Wild Thornberrys";"1998";"4";"2015-02-19 17:07:25"
"Десятое королевство";"The 10th Kingdom, Das 10te Konigreich";"2000";"8";"2015-02-19 17:07:12"
"День рождения Буржуя (2000-2001)";"";"2000";"6";"2015-02-19 17:07:02"
"Д’Артаньян и три мушкетера";"";"1979";"6";"2015-02-19 17:06:50"
"Бригада";"";"2002";"7";"2015-02-19 17:06:26"
"Мастер и Маргарита (2005)";"";"2005";"5";"2015-02-19 17:06:07"
"Менталист (2008)";"The Mentalist";"2008";"6";"2015-02-19 17:05:33"
"Приключения Джимми Нейтрона мальчика-гения (2002-2006)";"The Adventures of Jimmy Neutron: Boy Genius";"2002";"5";"2015-02-19 17:04:49"
"Газгольдер: Фильм";"Музыкальная сказка для взрослых";"2014";"2";"2015-02-18 10:49:17"
"Спецагент Арчер";"Archer";"2009";"8";"2015-02-18 10:48:54"
"Джон Уик";"John Wick";"2013";"6";"2015-02-15 18:30:29"
"Планета обезьян: Революция";"Dawn of the Planet of the Apes";"2014";"5";"2015-02-15 17:47:17"
"Леди Смерть";"Lady Death";"2004";"5";"2015-02-15 14:01:50"
"Один дома 3";"Home Alone 3";"1997";"3";"2015-02-15 14:00:53"
"Невероятный Берт Уандерстоун";"The Incredible Burt Wonderstone";"2013";"4";"2015-02-15 14:00:35"
"Дорога (2009)";"The Road, Путь";"2009";"8";"2015-02-15 14:00:07"
"Даун Хаус";"";"2001";"5";"2015-02-15 13:59:49"
"Куб (1997)";"Cube";"1997";"8";"2015-02-15 13:59:31"
"Куб 2: Гиперкуб";"Hypercube: Cube 2";"2002";"7";"2015-02-15 13:59:12"
"Невероятная жизнь Уолтера Митти";"The Secret Life of Walter Mitty";"2013";"7";"2015-02-15 13:58:54"
"Человек которого не было (2001)";"The Man Who Wasn’t There";"2001";"5";"2015-02-15 13:58:20"
"Геракл (2014)";"Hercules";"2014";"8";"2015-02-15 13:58:06"
"Особь";"Species";"1995";"8";"2015-02-15 13:57:53"
"Сибирский цирюльник";"Сибирский цирюльник";"1998";"5";"2015-02-15 13:57:26"
"Царство небесное";"Kingdom of Heaven/El Reino de los cielos";"2005";"7";"2015-02-15 13:56:33"
"На игле";"Trainspotting";"1996";"7";"2015-02-15 13:56:13"
"Эон Флакс (1991)";"Aeon Flux";"1991";"8";"2015-02-15 13:55:35"
"Эон Флакс (2005)";"Aeon Flux";"2005";"4";"2015-02-15 13:55:31"
"Я – Четвертый";"I Am Number Four, Я — номер четвертый, Я номер четыре";"2011";"4";"2015-02-15 13:54:39"
"Легенда Сонной Лощины";"The Legend of Sleepy Hollow";"2000";"7";"2015-02-15 13:54:09"
"Девять (2009, Германия, США)";"9";"2009";"4";"2015-02-15 13:51:54"
"11:14";"11:14";"2003";"4";"2015-02-15 13:51:18"
"Апокалипсис сегодня";"Apocalypse Now";"1979";"3";"2015-02-15 13:50:57"
"Хулиганы (2004)";"Hooligans, Green Street Hooligans";"2004";"8";"2015-02-15 13:50:45"
"Конец света 2013: Апокалипсис по-голливудски";"This Is The End";"2013";"6";"2015-02-15 13:50:23"
"Пленницы (2013)";"Prisoners";"2013";"8";"2015-02-15 13:50:08"
"Банды Нью-Йорка";"Gangs of New York";"2002";"9";"2015-02-15 13:49:48"
"Бэмби";"Bambi";"1942";"2";"2015-02-15 13:49:31"
"Бэтмен против Дракулы";"The Batman vs. Dracula";"2005";"6";"2015-02-15 13:49:03"
"Чудо-женщина";"Wonder Woman";"2009";"5";"2015-02-15 13:48:19"
"Соблазнитель 2";"Kokowääh 2";"2013";"3";"2015-02-15 13:47:11"
"Реальные кабаны (2007)";"Wild Hogs";"2007";"5";"2015-02-15 13:46:56"
"Копы в глубоком запасе";"The Other Guys, Другие парни";"2010";"7";"2015-02-15 13:46:34"
"Платон";"";"2008";"7";"2015-02-15 13:45:57"
"Кирпич";"Brick";"2005";"8";"2015-02-15 13:44:59"
"Академия вампиров";"Vampire Academy";"2014";"5";"2015-02-15 13:44:35"
"Живой (2006)";"";"2006";"2";"2015-02-15 13:43:57"
"Сигнал (2014)";"The Signal";"2014";"7";"2015-02-15 13:43:41"
"Хороший человек";"A Good Man";"2014";"4";"2015-02-15 13:41:24"
"Блондинка в эфире";"Walk of Shame";"2014";"4";"2015-02-15 13:41:08"
"Адмиралъ (2008)";"";"2008";"4";"2015-02-15 13:40:11"
"Битлджус (1988)";"Beetlejuice, Beetle Juice";"1988";"7";"2015-02-15 13:39:26"
"Пароль «Рыба-меч»";"Swordfish";"2001";"6";"2015-02-15 13:38:07"
"Грязь (2013)";"Filth";"2013";"9";"2015-02-15 13:37:21"
"О чем молчат девушки";"";"2013";"1";"2015-02-15 13:36:19"
"Подарок с характером";"";"2014";"1";"2015-02-15 13:35:15"
"Нереальная любовь";"";"2014";"1";"2015-02-15 13:34:59"
"Реальная сказка";"Самая реальная сказка";"2011";"2";"2015-02-15 13:34:21"
"Бригада: Наследник";"Бригада 2";"2012";"2";"2015-02-15 13:33:52"
"Одноклассники.ru: НаCLICKай удачу";"";"2013";"2";"2015-02-15 13:33:18"
"Сокровища О.К.";"";"2013";"2";"2015-02-15 13:32:57"
"Друзья друзей (2013)";"";"2013";"2";"2015-02-15 13:32:44"
"Скорый «Москва-Россия»";"";"2013";"2";"2015-02-15 13:32:24"
"Дивергент";"Divergent";"2014";"4";"2015-02-15 13:31:46"
"Королевство полной луны";"Moonrise Kingdom";"2012";"5";"2015-02-15 13:31:18"
"Маленькая Вера";"";"1988";"3";"2015-02-15 13:30:35"
"Меченосец";"";"2006";"4";"2015-02-15 13:30:15"
"Груз 200";"";"2007";"7";"2015-02-15 13:29:41"
"Ромовый дневник";"The Rum Diary";"2010";"5";"2015-02-15 13:28:20"
"Мгла";"The Mist";"2007";"10";"2015-02-15 13:27:45"
"Спиди Гонщик";"Speed Racer";"2008";"3";"2015-02-15 13:27:10"
"Санктум";"Sanctum, Sanctum 3D";"2010";"3";"2015-02-15 13:26:28"
"Храброе сердце (1995)";"Braveheart";"1995";"9";"2015-02-15 13:26:07"
"Сотовый";"Cellular";"2004";"7";"2015-02-15 13:25:36"
"Превосходство";"Transcendence";"2014";"6";"2015-02-15 13:24:41"
"Прекрасный боксер";"Beautiful Boxer";"2004";"8";"2015-02-15 13:22:21"
"Ад Данте: Анимированный эпос ";"Dante's Inferno: An Animated Epic";"2010";"10";"2015-02-15 13:22:12"
"Запрещенный прием";"Sucker Punch";"2011";"9";"2015-02-15 13:22:08"
"Первый отряд";"";"2009";"8";"2015-02-15 13:22:04"
"Ворон: Жестокое причастие";"The Crow: Wicked Prayer";"2005";"6";"2015-02-15 13:21:28"
"Башня Друаги: Герои Урука";"Doruâga no tô: The Aegis of Uruk";"2008";"9";"2015-02-15 13:18:40"
"Греческая смоковница";"Плод созрел; Griechische Feigen; The Fruit Is Ripe";"1976";"7";"2015-02-15 13:18:22"
"Сават";"Savate";"1995";"6";"2015-02-15 13:13:27"
"Мир по Гарпу";"The World According to Garp";"1982";"8";"2015-02-15 13:13:15"
"Меня зовут Брюс";"My Name Is Bruce";"2007";"6";"2015-02-15 13:12:32"
"Южный Парк: Воображляндия";"South Park: Imaginationland";"2008";"9";"2015-02-15 13:04:48"
"Враг мой";"Enemy Mine";"1985";"8";"2015-02-15 13:04:20"
"Космический пират капитан Харлок (2014)";"Space Pirate Captain Harlock";"2013";"8";"2015-02-15 13:03:50"
"Грань будущего";"Edge of Tomorrow";"2014";"9";"2015-02-15 13:03:06"
"Годзилла (2014)";"Godzilla";"2014";"7";"2015-02-15 13:02:09"
"Малавита";"The Family";"2013";"7";"2015-02-15 13:01:17"
"Афера по-американски";"American Hustle";"2013";"7";"2015-02-15 13:00:34"
"План побега (2013)";"Escape Plan, Могила";"2013";"7";"2015-02-15 12:59:56"
"Быстрее, чем кролики";"";"2013";"7";"2015-02-15 12:59:35"
"Геракл: Начало легенды";"The Legend of Hercules";"2013";"3";"2015-02-15 12:59:12"
"Холодное сердце (2013)";"Frozen";"2013";"4";"2015-02-15 12:58:51"
"Армагеддец";"The World’s End";"2013";"9";"2015-02-15 12:58:40"
"Ведьмы из Сугаррамурди";"Las brujas de Zugarramurdi";"2013";"7";"2015-02-15 12:58:07"
"Судная ночь";"The Purge";"2013";"9";"2015-02-15 12:57:47"
"Мы – Миллеры";"We’re the Millers";"2013";"7";"2015-02-15 12:57:37"
"Отель «Гранд Будапешт»";"The Grand Budapest Hotel";"2014";"8";"2015-02-15 12:57:24"
"Эпик";"Epic";"2013";"7";"2015-02-15 12:57:00"
"Игра Эндера";"Ender’s Game";"2013";"3";"2015-02-15 12:56:48"
"Волк с Уолл-стрит";"The Wolf of Wall Street";"2013";"8";"2015-02-15 12:55:51"
"Падение Олимпа";"Olympus Has Fallen";"2013";"7";"2015-02-15 12:55:24"
"Советник";"The Counselor";"2013";"6";"2015-02-15 12:55:10"
"Страсти Дон Жуана";"Don Jon’s Addiction";"2013";"7";"2015-02-15 12:54:53"
"Бойфренд из будущего";"About Time";"2013";"8";"2015-02-15 12:54:08"
"Третий лишний (2012)";"Ted";"2012";"7";"2015-02-15 12:53:41"
"Лига справедливости: Гибель";"Justice League: Doom";"2012";"7";"2015-02-15 12:53:30"
"Боже, благослови Америку";"God Bless America";"2011";"8";"2015-02-15 12:52:48"
"Белоснежка: Месть гномов";"Mirror Mirror";"2012";"3";"2015-02-15 12:52:27"
"1+1";"Intouchables, Неприкасаемые";"2011";"8";"2015-02-15 12:52:00"
"Я, Франкенштейн";"I, Frankenstein";"2013";"3";"2015-02-15 12:51:51"
"Напролом (2012)";"Lockout";"2012";"7";"2015-02-15 12:51:41"
"Ищу друга на конец света";"Seeking a Friend for the End of the World";"2012";"8";"2015-02-15 12:51:07"
"Мама";"Mama";"2013";"7";"2015-02-15 12:50:00"
"Джек Ричер";"Jack Reacher";"2012";"8";"2015-02-15 12:49:38"
"Соловей-Разбойник (2012)";"";"2012";"8";"2015-02-15 12:49:04"
"Бэтмен: Год первый";"Batman: Year One";"2011";"8";"2015-02-15 12:48:45"
"Робот и Фрэнк";"Robot & Frank";"2012";"5";"2015-02-15 12:48:34"
"Философы: Урок выживания";"The Philosophers";"2013";"8";"2015-02-15 12:48:18"
"Джон умирает в конце";"John Dies at the End, В финале Джон умрет";"2012";"9";"2015-02-15 12:47:52"
"Ворон (2012)";"The Raven";"2011";"8";"2015-02-15 12:47:39"
"Неудержимый";"Bullet to the Head";"2012";"3";"2015-02-15 12:47:22"
"Рейд 2";"The Raid 2: Berandal";"2014";"8";"2015-02-15 12:47:07"
"Рейд (2011)";"Serbuan maut, The Raid";"2011";"8";"2015-02-15 12:47:04"
"Спасибо Смоки";"Thanks, Smokey!";"2011";"7";"2015-02-15 12:46:35"
"Паркер";"Parker";"2012";"5";"2015-02-15 12:46:15"
"Обливион";"Oblivion";"2013";"8";"2015-02-15 12:45:47"
"Красота по-американски";"American Beauty";"1999";"9";"2015-02-14 23:16:56"
"Такие разные близнецы";"Jack and Jill";"2011";"5";"2015-02-14 14:06:58"
"Водитель для Веры";"Voditel dlya Very";"2004";"3";"2015-02-13 22:52:54"
"Va-банк";"Runner, Runner";"2013";"8";"2015-02-13 12:46:39"
"Линкольн для адвоката";"The Lincoln Lawyer";"2011";"8";"2015-02-13 12:46:21"
"Одиннадцать друзей Оушена (2001)";"Ocean’s Eleven, 11 друзей Оушена";"2001";"7";"2015-02-12 00:51:41"
"Дурак";"";"2014";"4";"2015-02-11 22:30:07"
"Мачо и ботан 2";"22 Jump Street";"2014";"3";"2015-02-11 22:26:34"
"Красный штат";"Red State";"2011";"7";"2015-02-11 00:01:17"
"Удивительные странствия Геракла (1995-1999)";"Hercules: The Legendary Journeys";"1995";"7";"2015-02-10 15:34:13"
"Транс";"Trance";"2013";"8";"2015-02-10 15:34:02"
"Иллюзия обмана";"Now You See Me";"2013";"9";"2015-02-10 15:33:25"
"Тихоокеанский рубеж";"Pacific Rim";"2013";"10";"2015-02-10 15:32:55"
"Патруль";"End of Watch";"2012";"7";"2015-02-10 15:32:45"
"Дружинники";"The Watch";"2012";"6";"2015-02-10 15:32:26"
"Любовь любит случайности";"Ask Tesadüfleri Sever";"2011";"5";"2015-02-10 15:31:41"
"Руби Спаркс";"Ruby Sparks";"2012";"8";"2015-02-10 15:31:27"
"Внутри Льюина Дэвиса";"Inside Llewyn Davis";"2013";"5";"2015-02-10 15:30:58"
"Кровью и потом: Анаболики";"Pain & Gain";"2013";"8";"2015-02-10 15:30:45"
"Тот еще Карлсон";"Тот еще Карлосон";"2012";"1";"2015-02-10 15:30:33"
"Мой парень – псих";"Silver Linings Playbook";"2012";"7";"2015-02-10 15:30:18"
"Джанго освобожденный";"Django Unchained";"2012";"8";"2015-02-10 15:30:06"
"Семь психопатов";"Seven Psychopaths, 7 психопатов";"2012";"7";"2015-02-10 15:29:08"
"Стражи Галактики";"Guardians of the Galaxy";"2014";"9";"2015-02-10 15:28:58"
"Византия";"Byzantium";"2012";"5";"2015-02-10 15:28:21"
"Зелёный Фонарь: Изумрудные рыцари";"Green Lantern: Emerald Knights";"2011";"5";"2015-02-10 15:27:54"
"Слова";"The Words";"2012";"7";"2015-02-10 15:27:44"
"Тепло наших тел";"Warm Bodies";"2013";"9";"2015-02-10 15:27:10"
"Аниматрица: Последний полет Осириса";"Final Flight of the Osiris";"2003";"7";"2015-02-10 15:26:57"
"Спящая красавица (2011)";"Sleeping Beauty";"2011";"5";"2015-02-10 15:25:37"
"Хорошо быть тихоней";"The Perks of Being a Wallflower";"2012";"5";"2015-02-10 15:25:02"
"Без истерики";"Hysteria, Истерия";"2011";"9";"2015-02-10 15:24:50"
"Сага о Бьёрне";"The Saga Of Biorn";"2011";"8";"2015-02-10 15:24:27"
"Орудия смерти: Город костей";"The Mortal Instruments: City of Bones, Город костей";"2013";"5";"2015-02-10 15:24:15"
"Американский пирог: Все в сборе";"American Reunion";"2012";"7";"2015-02-10 15:24:04"
"Джефф живущий дома";"Jeff Who Lives at Home";"2011";"5";"2015-02-10 15:23:51"
"Особо опасны";"Savages";"2012";"7";"2015-02-10 15:23:25"
"Рок на века";"Rock of Ages";"2012";"9";"2015-02-10 15:23:11"
"Космополис";"Cosmopolis";"2012";"6";"2015-02-10 15:22:56"
"Облачный атлас";"Cloud Atlas";"2012";"8";"2015-02-10 15:22:43"
"Охотники на троллей";"Trolljegeren, The Troll Hunter";"2010";"4";"2015-02-10 15:22:32"
"Ёлки 2";"";"2011";"5";"2015-02-10 15:22:20"
"Элизиум: Рай не на Земле (2013)";"Elysium";"2013";"9";"2015-02-10 15:22:01"
"Секс и ничего лишнего";"My Awkward Sexual Adventure";"2012";"2";"2015-02-10 15:21:35"
"Крепкий орешек: Хороший день чтобы умереть";"A Good Day to Die Hard";"2013";"4";"2015-02-10 15:21:11"
"Телекинез (2013)";"Carrie";"2013";"6";"2015-02-10 15:20:55"
"Побочный эффект";"Side Effects";"2013";"5";"2015-02-10 15:20:43"
"Три богатыря на дальних берегах";"";"2012";"5";"2015-02-10 15:20:19"
"Поймай толстуху, если сможешь";"Identity Thief";"2013";"1";"2015-02-10 15:20:07"
"Проект X: Дорвались";"Project X";"2012";"4";"2015-02-10 15:19:53"
"Охотники на ведьм";"Hansel & Gretel: Witch Hunters";"2013";"6";"2015-02-10 15:19:28"
"Храбрая сердцем";"Brave";"2012";"6";"2015-02-10 15:19:11"
"Голодные игры: И вспыхнет пламя";"The Hunger Games: Catching Fire";"2013";"4";"2015-02-10 15:18:53"
"Голодные игры";"The Hunger Games";"2012";"4";"2015-02-10 15:18:50"
"Джек – покоритель великанов";"Jack the Giant Slayer";"2013";"6";"2015-02-10 15:18:06"
"Время приключений c Финном и Джейком";"Adventure Time with Finn & Jake, Adventure Time with Finn and Jake, Время приключений";"2010";"10";"2015-02-10 15:17:10"
"Время (2011)";"In Time";"2011";"8";"2015-02-10 15:17:07"
"Игры киллеров";"Assassination Games; Оружие";"2011";"3";"2015-02-10 15:16:20"
"Без компромиссов";"Blitz, Блиц";"2011";"7";"2015-02-10 15:15:41"
"47 ронинов";"47 Ronin";"2013";"8";"2015-02-10 15:15:07"
"Белоснежка и охотник";"Snow White and the Huntsman";"2012";"5";"2015-02-10 15:14:54"
"Параллельные миры (2012)";"Upside Down";"2011";"5";"2015-02-10 15:14:39"
"Олдбой (2013)";"Oldboy";"2013";"9";"2015-02-10 15:13:58"
"Семейка Крудс";"The Croods";"2013";"5";"2015-02-10 15:13:43"
"Гайвер 2: Тёмный герой";"Guyver: Dark Hero";"1994";"9";"2015-02-09 23:19:46"
"Пингвины мистера Поппера";"Mr. Popper’s Penguins";"2011";"5";"2015-02-09 16:13:46"
"Липучка";"Flypaper, Ловушка для мух";"2011";"8";"2015-02-09 16:13:26"
"Прометей (2012)";"Prometheus, Prometheus 3D";"2012";"5";"2015-02-09 16:13:13"
"300 спартанцев: Расцвет империи";"300: Rise of an Empire";"2014";"8";"2015-02-09 16:13:02"
"Забойный реванш";"Grudge Match";"2013";"5";"2015-02-09 16:12:22"
"Кадры";"The Internship";"2013";"6";"2015-02-09 16:12:12"
"Шпион выйди вон";"Tinker Tailor Soldier Spy";"2011";"4";"2015-02-09 16:11:53"
"Петля времени";"Looper";"2012";"4";"2015-02-09 16:11:43"
"Жизнь Пи";"Life of Pi";"2012";"5";"2015-02-09 16:11:32"
"Боевой конь";"War Horse";"2011";"6";"2015-02-09 16:11:03"
"Бомж с дробовиком";"Hobo with a Shotgun";"2011";"7";"2015-02-09 16:10:53"
"Неадекватные люди";"";"2010";"9";"2015-02-09 16:10:39"
"Самый пьяный округ в мире";"Lawless";"2012";"6";"2015-02-09 16:10:27"
"Муви 43";"Movie 43";"2013";"9";"2015-02-09 16:10:14"
"Женщина в черном (2012)";"The Woman in Black";"2012";"3";"2015-02-09 16:09:57"
"Бедная богатая девочка";"Young Adult";"2011";"6";"2015-02-09 16:09:47"
"Санта на продажу";"Rare Exports, Rare Exports: A Christmas Tale";"2010";"7";"2015-02-09 16:09:34"
"Коломбиана";"Colombiana, Колумбиана";"2011";"3";"2015-02-09 16:08:54"
"Как приручить дракона 2";"How to Train Your Dragon 2";"2014";"9";"2015-02-09 16:08:39"
"Скайлайн";"Skyline, Горизонт";"2010";"4";"2015-02-09 16:08:25"
"Гравитация (2013)";"Gravity";"2013";"5";"2015-02-09 16:08:07"
"Универсальный солдат 4";"Universal Soldier: Day of Reckoning";"2012";"4";"2015-02-09 16:07:56"
"Несносные боссы";"Horrible Bosses, Ужасные боссы, Ужасные начальники";"2011";"5";"2015-02-09 16:07:12"
"Значит война";"This Means War";"2012";"5";"2015-02-09 16:06:58"
"Однажды в Ирландии";"The Guard";"2011";"7";"2015-02-09 16:06:42"
"Ярослав: Тысячу лет назад";"";"2010";"5";"2015-02-09 16:06:28"
"Сумерки. Сага. Рассвет: Часть 2";"The Twilight Saga: Breaking Dawn — Part 2";"2012";"5";"2015-02-09 16:06:14"
"Викинги (2008)";"Outlander, Викинги против пришельцев";"2008";"4";"2015-02-09 16:06:01"
"Профессионал (2011)";"Killer Elite, Профессионал";"2011";"3";"2015-02-09 16:05:35"
"Эволюция Борна";"The Bourne Legacy";"2012";"4";"2015-02-09 16:05:05"
"Восстание планеты обезьян";"Rise of the Apes, Rise of the Planet of the Apes";"2011";"9";"2015-02-09 16:03:38"
"Заражение (2011)";"Contagion, Зараза";"2011";"7";"2015-02-09 16:03:22"
"Гостья (2013)";"The Host";"2013";"3";"2015-02-09 16:03:00"
"Мушкетеры (2011)";"The Three Musketeers, Три мушкетера, Мушкетеры 3D";"2011";"5";"2015-02-09 16:02:26"
"Астрал";"Insidious, Коварный";"2010";"4";"2015-02-09 16:01:47"
"Лоракс";"The Lorax";"2012";"7";"2015-02-09 16:01:21"
"Миссия невыполнима: Протокол Фантом";"Mission: Impossible — Ghost Protocol";"2011";"6";"2015-02-09 16:01:10"
"Супер 8";"Super 8, Супер восемь";"2011";"6";"2015-02-09 16:00:43"
"Девушка с татуировкой дракона (2011)";"The Girl with the Dragon Tattoo 2011";"2011";"5";"2015-02-09 16:00:31"
"Джейн Эйр (2011)";"Jane Eyre";"2011";"5";"2015-02-09 16:00:00"
"Опасный метод";"A Dangerous Method";"2011";"6";"2015-02-09 15:59:33"
"Ганц (2004)";"Gantz";"2004";"9";"2015-02-09 15:59:15"
"Агент Джонни Инглиш: Перезагрузка";"Johnny English Reborn";"2011";"7";"2015-02-09 15:59:00"
"Одноклассники (2010, США)";"Grown Ups, Взрослые";"2010";"6";"2015-02-09 15:58:30"
"Мадагаскар 3";"Madagascar 3: Europe’s Most Wanted";"2012";"6";"2015-02-09 15:58:10"
"Ханна: Совершенное оружие";"Hanna, Ханна";"2011";"5";"2015-02-09 15:57:40"
"Области тьмы";"Limitless";"2011";"10";"2015-02-09 15:57:29"
"Очень плохая училка";"Bad Teacher";"2011";"5";"2015-02-09 15:57:11"
"Щелкунчик и Крысиный король";"Nutcracker and the Rat King, Щелкунчик и Крысиный король 3D";"2009";"2";"2015-02-09 15:57:00"
"Гениальный папа";"Father of Invention, Отец изобретений";"2010";"2";"2015-02-09 15:56:45"
"Безбрачная неделя";"Hall Pass, Пропуск";"2011";"5";"2015-02-09 15:56:29"
"Гамбит";"Gambit";"2012";"6";"2015-02-09 15:56:14"
"Ковбои против Пришельцев";"Cowboys and Aliens, Ковбои против Чужих";"2011";"6";"2015-02-09 15:55:39"
"Живая сталь";"Real Steel, Реальная сталь, Настоящая сталь";"2011";"7";"2015-02-09 15:55:24"
"Впусти меня: Сага";"Let Me In";"2010";"5";"2015-02-09 15:55:12"
"Джон Картер";"John Carter";"2012";"5";"2015-02-09 15:54:57"
"Супер";"Super";"2010";"7";"2015-02-09 15:54:42"
"Люди в черном 3";"Men in Black 3, Men in Black III";"2012";"7";"2015-02-09 15:53:44"
"Сумасшедшая езда";"Drive Angry";"2010";"8";"2015-02-09 15:53:28"
"Робокоп (2014)";"RoboCop";"2014";"8";"2015-02-09 15:28:03"
"Погребенный заживо";"Buried, Погребенный";"2010";"8";"2015-02-09 15:27:47"
"Шерлок Холмс: Игра теней";"Sherlock Holmes: A Game of Shadows";"2011";"8";"2015-02-09 15:27:36"
"Пол: Секретный материальчик";"Paul";"2011";"6";"2015-02-09 15:27:00"
"Универсальный солдат 3: Возрождение";"Universal Soldier: Regeneration";"2009";"4";"2015-02-09 15:26:40"
"Это очень забавная история";"It’s Kind of a Funny Story, Типа забавная история";"2010";"8";"2015-02-09 15:26:14"
"Король говорит!";"The King’s Speech, Речь короля, Королевская речь";"2010";"4";"2015-02-09 15:26:01"
"Инопланетное вторжение: Битва за Лос-Анджелес";"Battle: Los Angeles, Битва за Лос-Анджелес, Битва: Лос-Анджелес";"2011";"5";"2015-02-09 15:25:48"
"Каратэ-пацан";"The Karate Kid";"2010";"7";"2015-02-09 15:25:31"
"Франкенвини (2012)";"Frankenweenie";"2012";"7";"2015-02-09 15:24:47"
"Железная хватка";"True Grit, Настоящее мужество";"2010";"8";"2015-02-09 15:24:31"
"Любовь и другие лекарства";"Love and Other Drugs, Любовь и другие наркотики";"2010";"10";"2015-02-09 15:24:09"
"Одинокий рейнджер";"The Lone Ranger";"2013";"5";"2015-02-09 15:23:58"
"Социальная сеть";"The Social Network";"2010";"10";"2015-02-09 15:23:26"
"Исходный код";"Source Code";"2011";"9";"2015-02-09 15:23:14"
"Лига Справедливости: Кризис двух миров";"Justice League: Crisis on Two Earths, Лига Справедливости: Кризис на двух Землях";"2010";"8";"2015-02-09 15:21:34"
"Вальгалла: Сага о викинге";"Valhalla Rising";"2009";"6";"2015-02-09 15:20:21"
"Риддик";"Riddick";"2013";"7";"2015-02-09 15:19:54"
"Тысяча слов";"A Thousand Words";"2009";"6";"2015-02-09 15:19:21"
"Черепашки Навсегда";"Turtles Forever";"2009";"7";"2015-02-09 15:16:18"
"Железное небо";"Iron Sky, Стальные небеса";"2012";"5";"2015-02-09 15:16:04"
"Война миров Z";"World War Z";"2013";"7";"2015-02-09 15:15:48"
"Бэтмен: Под красным колпаком";"Batman: Under The Red Hood";"2010";"7";"2015-02-09 15:15:36"
"Стартрек: Возмездие";"Star Trek Into Darkness";"2013";"9";"2015-02-09 15:15:22"
"Детки в порядке";"The Kids Are All Right, Дети всегда правы, Дети в порядке";"2010";"9";"2015-02-09 15:14:57"
"Мегамозг";"Megamind, Мега мозг";"2010";"8";"2015-02-09 15:14:45"
"Возвращение героя";"The Last Stand";"2013";"6";"2015-02-09 15:14:18"
"Отправь их в ад Мэлоун";"Give ’em Hell, Malone";"2009";"6";"2015-02-09 15:14:00"
"Ниндзя из Беверли Хиллз";"Beverly Hills Ninja";"1997";"5";"2015-02-09 15:13:46"
"Черепашки мутанты ниндзя (1987-1996)";"Teenage Mutant Ninja Turtles";"1984";"7";"2015-02-09 15:13:37"
"Черепашки-ниндзя (2014)";"Teenage Mutant Ninja Turtles";"2014";"7";"2015-02-09 15:13:23"
"Неоспоримый 3";"Undisputed III: Redemption";"2010";"10";"2015-02-09 15:13:08"
"Ниндзя (2009)";"Ninja";"2009";"8";"2015-02-09 15:12:57"
"Убойные каникулы";"Tucker & Dale vs Evil, Tucker and Dale vs Evil";"2010";"6";"2015-02-09 15:12:13"
"Диктатор";"The Dictator";"2012";"8";"2015-02-09 15:11:55"
"Тор";"Thor";"2011";"7";"2015-02-09 15:11:46"
"История игрушек";"Toy Story";"1995";"7";"2015-02-09 15:11:41"
"Осторожно Модерн";"";"1996";"8";"2015-02-09 15:11:30"
"Тор 2: Царство тьмы";"Thor: The Dark World";"2013";"7";"2015-02-09 15:11:27"
"Храбрые перцем";"Your Highness, Ваше Высочество, Ваше Величество";"2010";"7";"2015-02-09 15:08:42"
"Рапунцель: Запутанная история";"Rapunzel, Tangled, Рапунзель 3D, Рапунцель, Принцесса Рапунцель";"2010";"6";"2015-02-09 15:08:13"
